UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
0,0,2,1300.236407,1,1,12.96991,77.59796,55.0
0,0,2,1275.0,1,1,12.274538,76.644605,51.0
0,0,2,933.1597222000001,1,1,12.778033,77.632191,43.0
0,1,2,929.9211427000001,1,1,28.6423,77.3445,62.5
1,0,2,999.0092470000001,0,1,22.5922,88.484911,60.5
0,0,3,1250.0,1,1,10.03328,76.28257099999999,42.0
0,0,3,1495.053957,1,1,26.916347,75.7956,66.5
0,1,3,1181.012946,1,1,30.74,76.65,52.0
0,1,2,1040.0,1,1,13.054202,77.674002,41.6
0,1,2,879.1208791000001,1,1,12.95161,80.14097,36.0
0,0,3,1350.308642,1,1,26.724219,88.326357,35.0
0,0,2,1333.0101789999999,1,1,13.040339999999999,77.591347,110.0
0,0,2,927.1779023,1,1,12.96991,77.59796,48.0
0,1,2,1122.1719460000002,1,1,28.587711,77.403123,62.0
0,0,1,649.9837504,1,1,13.0352,77.5772,20.0
1,1,3,1394.117647,0,1,28.429614,77.481711,71.1
0,0,3,1800.08471,1,1,20.275267000000003,85.86240699999999,85.0
1,1,3,2124.896706,0,1,12.8855,77.5638,180.0
0,0,2,1100.0,1,1,21.15389,79.08306,22.0
0,1,3,2178.649237,1,1,13.092356,77.61346800000001,120.0
0,0,2,881.1435285,1,1,13.05,80.11,45.0
0,0,2,944.8818898,1,1,18.452663,73.93104,42.0
0,1,3,1310.1476890000001,1,1,28.5041,77.381557,55.0
0,0,1,630.00063,1,1,19.05444,72.84056,300.0
0,0,2,1219.80971,1,1,21.105779000000002,79.078497,50.0
0,0,2,780.141844,1,1,22.54111,88.33778000000001,27.5
0,0,3,1600.0,1,1,28.63601,77.433724,46.0
0,0,2,1180.4123710000001,1,1,30.712867,76.648557,22.9
1,0,2,1000.0,0,1,24.48,86.7,39.0
0,0,2,1000.0,1,1,28.2102,76.8606,12.5
0,0,3,1400.107701,1,1,28.404729999999997,77.367514,52.0
0,1,2,943.1266075999999,1,1,28.5041,77.381557,33.0
0,0,2,1150.1463820000001,1,1,26.586306,74.873234,55.0
